scenario,samples,mean_A1,mean_A3,mean_A5,mean_A7,std_A1,std_A3,std_A5,std_A7
caseA1,500,99.9777107805228,29.99921436249701,19.998131275601082,14.99606655379344,0.5963868588823054,0.17327143123094,0.11697430820708561,0.08405085094155097
v2g,640,12.77010202407837,0.28104453813284636,0.18732559331692755,0.3366940259002149,0.03498905809731647,0.010220037885708834,0.007774847135895651,0.008163919884367066
g2v,370,16.29849284404033,0.47469516299866343,0.25054566360808705,0.38784848516051834,0.03876789989250466,0.009450409571551851,0.0087693791107071,0.010896661454491535
g2b,370,2.9904390992345036,0.007942195528665104,0.027896285208093154,0.12122114828309498,0.0020058041101429012,0.0017740799816283214,0.001332273916597771,0.0008269176611302777
b2g,640,2.944145940244198,0.012884083640528843,0.08303170348517597,0.10708422539755702,0.0024906333830988668,0.001615967113067739,0.0008441856770427772,0.0008589034370148545
