scenario,status,npz_path,train_samples,val_samples,test_samples,init_train_mae_mean,init_val_mae_mean,init_test_mae_mean,reg_best_val_mae_mean,reg_best_epoch,bp_best_val_mae_mean,bp_best_epoch,reg_best_first10,bp_best_first10,reg_best_first20,bp_best_first20,threshold_1p1xminbest,reg_epoch_reach_thr,bp_epoch_reach_thr,curve_png,history_json,batch_size_used,bp_epoch1_val_mae,bp_epoch1_val_mae_A1,bp_epoch1_val_mae_A3,bp_epoch1_val_mae_A5,bp_epoch1_val_mae_A7,curve_yscale,init_val_mae_A1,init_val_mae_A3,init_val_mae_A5,init_val_mae_A7,reg_epoch1_val_mae,reg_epoch1_val_mae_A1,reg_epoch1_val_mae_A3,reg_epoch1_val_mae_A5,reg_epoch1_val_mae_A7,reg_method,used_pinv_warm_start
v2g,ok,scripts/DATELBR/dataset/real_v2g.npz,440,90,110,0.07451547682285309,0.07299287617206573,0.061716679483652115,0.016688753617927432,1,0.01383533887565136,82,0.016688753617927432,0.04989418759942055,0.016688753617927432,0.036715202033519745,0.015218872763216497,,81,scripts/DATELBR/output_compare_sameinit_pinv_analytic_vs_bp/val_compare_reg_vs_bp_v2g.png,scripts/DATELBR/output_compare_sameinit_pinv_analytic_vs_bp/history_compare_v2g.json,440,0.13034884631633759,0.27056702971458435,0.08608812838792801,0.08146131038665771,0.08327893912792206,log,0.24283656477928162,0.013900098390877247,0.01852296106517315,0.016711905598640442,0.016688753617927432,0.03841473162174225,0.00939799752086401,0.008691130205988884,0.010251155123114586,analytic,True
g2v,ok,scripts/DATELBR/dataset/real_g2v.npz,250,50,70,0.11068576574325562,0.15792018175125122,0.07137034833431244,0.018501836457289755,1,0.015092267654836178,65,0.018501836457289755,0.0933559462428093,0.018501836457289755,0.06259739398956299,0.016601494420319798,,65,scripts/DATELBR/output_compare_sameinit_pinv_analytic_vs_bp/val_compare_reg_vs_bp_g2v.png,scripts/DATELBR/output_compare_sameinit_pinv_analytic_vs_bp/history_compare_g2v.json,250,0.16750085353851318,0.42592063546180725,0.07593608647584915,0.08632727712392807,0.08181938529014587,log,0.5753633379936218,0.024057794362306595,0.014086246490478516,0.01817331835627556,0.018501836457289755,0.04088775813579559,0.0103301415219903,0.0070371865294873714,0.015752259641885757,analytic,True
g2b,ok,scripts/DATELBR/dataset/real_g2b.npz,250,50,70,0.001015872461721301,0.0017177531262859702,0.00137670140247792,0.0017177530680783093,1,0.001381242647767067,91,0.0017177530680783093,0.0017177531262859702,0.0017177530680783093,0.0017177531262859702,0.0015193669125437737,,90,scripts/DATELBR/output_compare_sameinit_pinv_analytic_vs_bp/val_compare_reg_vs_bp_g2b.png,scripts/DATELBR/output_compare_sameinit_pinv_analytic_vs_bp/history_compare_g2b.json,250,0.09452548623085022,0.05354080721735954,0.1341344714164734,0.031649891287088394,0.15877678990364075,log,0.0032252741511911154,0.001500152051448822,0.0010281666181981564,0.0011174194514751434,0.0017177530680783093,0.0032252741511911154,0.001500152051448822,0.0010281666181981564,0.0011174194514751434,analytic,True
b2g,ok,scripts/DATELBR/dataset/real_b2g.npz,440,90,110,0.02522037737071514,0.016476226970553398,0.020204488188028336,0.0014687389193568379,1,0.001761905150488019,117,0.0014687389193568379,0.016476226970553398,0.0014687389193568379,0.006550148595124483,0.0016156128112925219,1,,scripts/DATELBR/output_compare_sameinit_pinv_analytic_vs_bp/val_compare_reg_vs_bp_b2g.png,scripts/DATELBR/output_compare_sameinit_pinv_analytic_vs_bp/history_compare_b2g.json,440,0.1825747787952423,0.11455608159303665,0.20640118420124054,0.2057487666606903,0.20359310507774353,log,0.050447624176740646,0.0011413631727918983,0.006076023913919926,0.008239896968007088,0.0014687389193568379,0.002413243753835559,0.0014114347286522388,0.0010265904711559415,0.0010236867237836123,analytic,True
