method,scenario_count,mean_A1,mean_A3,mean_A5,mean_A7,std_A1,std_A3,std_A5,std_A7
single_cycle_fft,5,0.13966426959531192,0.15448238628121672,0.15608631986661656,0.15044376489732214,0.1842240112298844,0.22519731980072127,0.2290487919742692,0.1941499936197757
pre_finetune,5,0.3050928734242916,0.037925013131462036,0.060251735337078574,0.06907505476847291,0.239482343646158,0.056053314708023834,0.10028024892310704,0.1131697343126778
bp_finetuned,5,0.13277585697360336,0.0332755884854123,0.055358206015080215,0.06461581795010715,0.23226985666614577,0.057802696484755584,0.10260683652166333,0.11545050506953422
closed_form_finetuned,5,0.1282559814862907,0.03327474095858633,0.023957020509988068,0.021190419630147516,0.2201677776345827,0.05649139912507471,0.04103595961775958,0.02991925534637288
