scenario,status,npz_path,num_samples,num_groups,train_samples,val_samples,test_samples,channel_c_groups,total_groups,channel_c_group_ratio,dense_mae_A1,dense_mae_A3,dense_mae_A5,dense_mae_A7,dense_mean_re_A1,dense_mean_re_A3,dense_mean_re_A5,dense_mean_re_A7,dense_max_re_A1,dense_max_re_A3,dense_max_re_A5,dense_max_re_A7
v2g,ok,scripts/DATELBR/dataset/real_v2g.npz,640,64,440,90,110,0,64,0.0,0.34630993008613586,0.011900761164724827,0.012505403719842434,0.02666465751826763,2.710172653198242,4.13112211227417,6.500535488128662,7.785628318786621,6.6728434562683105,12.53217601776123,12.17777156829834,10.530782699584961
g2v,ok,scripts/DATELBR/dataset/real_g2v.npz,370,37,250,50,70,0,37,0.0,0.2885423004627228,0.028984233736991882,0.01945445127785206,0.02050725370645523,1.7737751007080078,6.014919281005859,7.457800388336182,5.264618873596191,4.4370317459106445,8.312771797180176,14.551939010620117,7.782193183898926
g2b,ok,scripts/DATELBR/dataset/real_g2b.npz,370,37,250,50,70,0,37,0.0,0.10795591026544571,0.001999878790229559,0.001509758410975337,0.0074515631422400475,3.608690023422241,21.73085594177246,5.321304798126221,6.161281108856201,6.466075897216797,31.53866195678711,11.215834617614746,7.003178596496582
b2g,ok,scripts/DATELBR/dataset/real_b2g.npz,640,64,440,90,110,0,64,0.0,0.00259486329741776,0.0012976240832358599,0.0007668884354643524,0.0008647746872156858,0.08817632496356964,10.297273635864258,0.9198563098907471,0.8018249273300171,0.17190508544445038,29.862871170043945,1.642119288444519,1.977005958557129
