scenario,status,npz_path,train_samples,val_samples,test_samples,init_train_mae_mean,init_val_mae_mean,init_test_mae_mean,reg_best_val_mae_mean,reg_best_epoch,bp_best_val_mae_mean,bp_best_epoch,reg_best_first10,bp_best_first10,reg_best_first20,bp_best_first20,threshold_1p1xminbest,reg_epoch_reach_thr,bp_epoch_reach_thr,curve_png,history_json,batch_size_used,bp_epoch1_val_mae,bp_epoch1_val_mae_A1,bp_epoch1_val_mae_A3,bp_epoch1_val_mae_A5,bp_epoch1_val_mae_A7,bp_lr_used,curve_yscale,init_val_mae_A1,init_val_mae_A3,init_val_mae_A5,init_val_mae_A7,reg_epoch1_val_mae,reg_epoch1_val_mae_A1,reg_epoch1_val_mae_A3,reg_epoch1_val_mae_A5,reg_epoch1_val_mae_A7,reg_method,used_pinv_warm_start
v2g,ok,scripts/DATELBR/dataset/real_v2g.npz,440,90,110,0.07451547682285309,0.07299287617206573,0.061716679483652115,0.014369140262715518,19,0.01383533887565136,82,0.01586592965759337,0.04989418759942055,0.014369140262715518,0.036715202033519745,0.015218872763216497,18,81,scripts/DATELBR/output_compare_sameinit_pinv_analytic_progressive_bp_lr1e3_rerun/val_compare_reg_vs_bp_v2g.png,scripts/DATELBR/output_compare_sameinit_pinv_analytic_progressive_bp_lr1e3_rerun/history_compare_v2g.json,440,0.13034884631633759,0.27056702971458435,0.08608812838792801,0.08146131038665771,0.08327893912792206,0.001,log,0.24283656477928162,0.013900098390877247,0.01852296106517315,0.016711905598640442,0.01694019522983581,0.04263220727443695,0.009877048432826996,0.005581797566264868,0.009669727645814419,analytic_progressive,True
g2v,ok,scripts/DATELBR/dataset/real_g2v.npz,250,50,70,0.11068576574325562,0.15792018175125122,0.07137034833431244,0.016025756718590856,47,0.015092267654836178,65,0.01808739104308188,0.0933559462428093,0.016741545870900154,0.06259739398956299,0.016601494420319798,32,65,scripts/DATELBR/output_compare_sameinit_pinv_analytic_progressive_bp_lr1e3_rerun/val_compare_reg_vs_bp_g2v.png,scripts/DATELBR/output_compare_sameinit_pinv_analytic_progressive_bp_lr1e3_rerun/history_compare_g2v.json,250,0.16750085353851318,0.42592063546180725,0.07593608647584915,0.08632727712392807,0.08181938529014587,0.001,log,0.5753633379936218,0.024057794362306595,0.014086246490478516,0.01817331835627556,0.022091163555160165,0.05392967164516449,0.008606466464698315,0.009264685213565826,0.01656383089721203,analytic_progressive,True
g2b,ok,scripts/DATELBR/dataset/real_g2b.npz,250,50,70,0.012454639188945293,0.017763379961252213,0.011511283926665783,0.0015516442072112113,59,0.001564142992720008,120,0.0016665172879584134,0.015845777466893196,0.0016287242178805172,0.014136345125734806,0.0017068086279323326,2,112,scripts/DATELBR/output_compare_sameinit_pinv_analytic_progressive_bp_lr1e3_rerun/val_compare_reg_vs_bp_g2b.png,scripts/DATELBR/output_compare_sameinit_pinv_analytic_progressive_bp_lr1e3_rerun/history_compare_g2b.json,250,0.16936738789081573,0.11003422737121582,0.19105713069438934,0.19060495495796204,0.18577323853969574,0.001,log,0.06016826629638672,0.001781271304935217,0.0020947102457284927,0.007009273860603571,0.002130019769538194,0.0032692241948097944,0.0011975254165008664,0.0021212929859757423,0.0019320364808663726,analytic_progressive,True
b2g,ok,scripts/DATELBR/dataset/real_b2g.npz,440,90,110,0.02522037737071514,0.016476226970553398,0.020204488188028336,0.0014473634655587375,63,0.001761905150488019,117,0.0014753689029021189,0.016476226970553398,0.0014753689029021189,0.006550148595124483,0.0015920998121146115,2,,scripts/DATELBR/output_compare_sameinit_pinv_analytic_progressive_bp_lr1e3_rerun/val_compare_reg_vs_bp_b2g.png,scripts/DATELBR/output_compare_sameinit_pinv_analytic_progressive_bp_lr1e3_rerun/history_compare_b2g.json,440,0.1825747787952423,0.11455608159303665,0.20640118420124054,0.2057487666606903,0.20359310507774353,0.001,log,0.050447624176740646,0.0011413631727918983,0.006076023913919926,0.008239896968007088,0.0017237590509466827,0.0028585195541381836,0.0016827639192342758,0.0013486586976796389,0.0010050940327346325,analytic_progressive,True
